Timestamp,Locality,Latitude,Longitude,Signal Strength (dBm),Signal Quality (%),Data Throughput (Mbps),Latency (ms),Network Type,BB60C Measurement (dBm),srsRAN Measurement (dBm),BladeRFxA9 Measurement (dBm)
00:01.6,Danapur,25.7351384360885,85.2083995183804,-94.1431585940501,0,68.596932295175,46.5983870217512,5G,-90.6427728161521,-101.895905223359,-96.5706978951076
03:08.8,Phulwari Sharif,25.5385556380636,85.1598598696811,-94.5647646588091,0,38.2920382968694,30.3428276465881,5G,-90.4890999195482,-103.318303513064,-95.1024671205953
37:28.2,Bailey Road,25.6821700078241,85.1948975503743,-98.3870783385737,0,13.6655922087073,44.2184233604402,5G,-96.3504997447735,-106.016209193137,-100.800073374667
43:42.6,Rajendra Nagar,25.6507715445336,85.1441168877141,-94.6955169644142,0,65.6428495904103,23.462168595549,5G,-93.1382906106067,-102.768533859586,-93.6058349505774
46:49.8,S.K. Puri,25.4737367384143,85.0753884769502,-103.938358059658,0,79.8771664667797,23.6321416101207,5G,-99.6307848036232,-109.646294300443,-104.364393895408
56:11.4,Anandpuri,25.6914571833952,85.0726403314184,-97.5347158768556,0,49.1006660039444,20.1472869549255,5G,-98.4826950090414,-104.67735075083,-96.0888727113916
08:40.3,Kankarbagh,25.6009105602783,84.9846289385006,-95.0688897763359,0,32.2613291568877,28.0217654124037,5G,-98.777295624821,-100.298634640042,-94.4318419696306
11:47.5,Pataliputra,25.7443117643619,85.2308331226231,-100.10191623631,0,12.5904408682005,40.2054902269447,5G,-98.8988207227761,-106.581517395814,-101.824131267257
24:16.3,Bailey Road,25.476419648988,85.1131391308028,-93.5316698819526,0,26.4055490628362,32.5586036807534,5G,-90.1245700231733,-103.085648238392,-93.3196564978595
14:11.7,Gardanibagh,25.5916572533903,85.1692376385118,-93.8200012166133,0,95.9712681451131,16.1868856353294,5G,-92.5866757075634,-101.448814673111,-94.7536988243479
20:26.1,Kankarbagh,25.7617649254764,85.0761151113473,-94.482611173434,0,99.9418149609251,32.2322632574871,5G,-94.7505099926207,-102.918336890906,-96.7594757007153
42:16.6,Anandpuri,25.4220458205067,85.1755255269484,-94.8205272511615,0,84.3235075508286,15.1547946989378,5G,-96.46933870857,-101.102985969703,-96.8559678748716
45:23.8,Gardanibagh,25.5807062544285,85.2005939055438,-92.3098882260157,0,40.7684949434817,35.3048757253579,5G,-87.9896071709156,-101.797339586062,-89.686517302597
51:38.2,Bailey Road,25.5104038379731,85.015254764002,-104.233862172357,0,38.8668466394314,38.9769069045646,5G,-101.775492052047,-113.232066454613,-102.025125291413
57:52.6,Kankarbagh,25.4766651419422,85.2280493251406,-102.919514117428,0,72.5483697513888,44.4048958875681,5G,-100.121004228495,-112.721419990686,-103.036472433881
19:43.1,Bankipore,25.5680573342773,85.1061186300441,-88.8315653931198,0,50.6979125455091,47.3550007011162,5G,-90.6700043433523,-96.2953913496778,-91.5821282388174
29:04.7,S.K. Puri,25.7169062282747,85.0191763603288,-88.5512173581231,0,20.8188149833547,31.7795639184339,5G,-93.4936307531419,-96.9282882086217,-89.3524481488947
12:45.7,Danapur,25.5427565374216,85.0653104313611,-101.859505714656,0,51.3502091565387,41.4006617534822,5G,-97.9386588252544,-107.082832282137,-100.138085397125
19:00.1,Pataliputra,25.5367312850355,85.2168716855391,-100.383304672621,0,59.4654439347032,43.2213782561935,5G,-104.696176347438,-108.261820243197,-102.887598691866
28:21.7,Boring Canal Road,25.6573560998593,84.9981702885339,-93.6705076009307,0,53.9554717058445,16.027044308395,5G,-95.2466712405952,-101.603425354454,-92.1213975344715
34:36.1,Boring Road,25.6550716236359,85.2202989862312,-93.0266423508851,0,52.3287148691607,30.0820085395378,5G,-96.7795017817711,-101.099762935648,-92.1664512714143
40:50.5,Anandpuri,25.608353407682,85.0949815016914,-96.5841088064589,0,99.8512760253654,47.3245332537423,5G,-95.158456811107,-104.477868539988,-95.7670446182096
50:12.2,Anisabad,25.4829124074293,85.2070927846948,-95.7541781030327,0,75.920385865428,31.9328233490569,5G,-99.4742960176969,-101.343500031622,-96.3934910236512
56:26.6,Bankipore,25.4324649556269,85.1789252147763,-98.5538005177459,0,56.1252383893298,42.2561446893135,5G,-98.9614017417763,-108.294017629974,-96.8361313214417
12:02.6,Exhibition Road,25.7153793483939,85.2333247907729,-95.1143403114944,0,71.7694477017487,12.7856459264962,5G,-98.3655259397348,-100.835654016965,-96.7512629693533
